Closed form Marginal Likelihood Gamma Poisson Matrix Factorization," present novel understandings Gamma Poisson (GaP) model, probabilistic matrix factorization model count data. show GaP rewritten free score/activation matrix. gives new insights about estimation topic/dictionary matrix maximum marginal likelihood estimation. particular, explains robustness estimator specified values factorization rank, especially ability automatically prune irrelevant dictionary columns, empirically observed previous work. marginalization activation matrix leads turn new Monte Carlo Expectation Maximization algorithm favorable properties. "
Laboratory mid IR spectra equilibrated igneous meteorites. Searching observables planetesimal debris," Meteorites contain minerals Solar System asteroids different properties (like size, presence water, core formation). provide new mid IR transmission spectra powdered meteorites obtain templates mid IR spectra asteroidal debris would look like. essential interpreting mid IR spectra past future space observatories, like James Webb Space Telescope. show transmission spectra wet dry chondrites, carbonaceous ordinary chondrites achondrite chondrite meteorites distinctly different way one distinguish astronomical mid IR spectra. two observables spectroscopically separate different meteorites groups (and thus different types parent bodies) pyroxene olivine feature strength ratio peak shift olivine spectral features due increase iron concentration olivine. "
Case Static AMSDU Aggregation WLANs," Frame aggregation mechanism multiple frames combined into single transmission unit air. Frames aggregated AMSDU level use common CRC check enforce integrity. longer aggregated AMSDU frames, packet error rate increases significantly same bit error rate. Hence, multiple studies proposed doing AMSDU aggregation adaptively based error rate. study evaluates if \emph{practical} advantage doing adaptive AMSDU aggregation based link bit error rate. Evaluations model show instead implementing complex adaptive AMSDU frame aggregation mechanism impact queuing other implementation aspects, easier influence packet error rate traditional mechanisms while keeping AMSDU aggregation logic simple. "
 $Gaia$ ESO Survey: inner disk intermediate age open cluster NGC 6802,"Milky Way open clusters very diverse terms age, chemical composition, kinematic properties. Intermediate age old open clusters less common, even harder find them inside solar Galactocentric radius, due high mortality rate strong extinction inside region. NGC 6802 one inner disk open clusters (IOCs) observed $Gaia$ ESO survey (GES). cluster important target calibrating abundances derived survey due kinematic chemical homogeneity members open clusters. Using measurements $Gaia$ ESO internal data release 4 (iDR4), identify 95 main sequence dwarfs cluster members GIRAFFE target list, eight giants cluster members UVES target list. dwarf cluster members median radial velocity $13.6\pm1.9$ km s$^{ 1}$, while giant cluster members median radial velocity $12.0\pm0.9$ km s$^{ 1}$ median [Fe/H] $0.10\pm0.02$ dex. color magnitude diagram these cluster members suggests age $0.9\pm0.1$ Gyr, $(m M)_0=11.4$ $E(B V)=0.86$. perform first detailed chemical abundance analysis NGC 6802, including 27 elemental species. gain more general picture about IOCs, measurements NGC 6802 compared those other IOCs previously studied GES, is, NGC 4815, Trumpler 20, NGC 6705, Berkeley 81. NGC 6802 shows similar C, N, Na, Al abundances other IOCs. These elements compared nucleosynthetic models function cluster turn off mass. $\alpha$, iron peak, neutron capture elements explored self consistent way."
Witness Functions versus Interpretation Functions Secrecy Cryptographic Protocols: What Choose?," Proving cryptographic protocol correct secrecy hard task. One strongest strategies reach goal show increasing, means security level every single atomic message exchanged protocol, safely evaluated, never deceases. Recently, two families functions proposed measure security level atomic messages. first one family interpretation functions. second family witness functions. paper, show witness functions more efficient interpretation functions. give detailed analysis ad hoc protocol witness functions succeed proving correctness secrecy while interpretation functions fail so. "
Pairwise Difference Estimation High Dimensional Partially Linear Model," paper proposes regularized pairwise difference approach estimating linear component coefficient partially linear model, consistency exact rates convergence obtained high dimensions under mild scaling requirements. analysis reveals interesting features (i) bandwidth parameter automatically adapts model actually tuning insensitive; (ii) procedure could even maintain fast rate convergence $\alpha$ Hölder class $\alpha\leq1/2$. Simulation studies show advantage proposed method, application approach brain imaging data reveals biological patterns fail recovered using competing methods."
Dissecting multivariate extremal index tail dependence," central issue theory extreme values focuses suitable conditions well known results limiting distributions maximum i.i.d. sequences applied stationary ones. context, extremal index appears key parameter capture effect temporal dependence limiting distribution maxima. multivariate extremal index corresponds generalization concept multivariate context affects tail dependence structure within marginal sequences between them. function, inference becomes more difficult, therefore important obtain characterizations, namely bounds based marginal dependence easier estimate. work present two decompositions emphasize different types information contained multivariate extremal index, upper limit better those found literature analyze role dependence limiting model componentwise maxima stationary sequence. will illustrate results examples recognized interest applications. "
"Big Universe, Big Data: Machine Learning Image Analysis Astronomy"," Astrophysics cosmology rich data. advent wide area digital cameras large aperture telescopes led ever more ambitious surveys sky. Data volumes entire surveys decade ago now acquired single night real time analysis often desired. Thus, modern astronomy requires big data know  , particular demands highly efficient machine learning image analysis algorithms. But scalability challenge: Astronomy applications touch several current machine learning research questions, learning biased data dealing label measurement noise. argue makes astronomy great domain computer science research, pushes boundaries data analysis. following, will present exciting application area data scientists. will focus exemplary results, discuss main challenges, highlight recent methodological advancements machine learning image analysis triggered astronomical applications. "
Natural Language Does Emerge 'Naturally' Multi Agent Dialog," number recent works proposed techniques end end learning communication protocols among cooperative multi agent populations, simultaneously found emergence grounded human interpretable language protocols developed agents, all learned without any human supervision! paper, using Task Tell reference game between two agents testbed, present sequence 'negative' results culminating 'positive' one  showing while most agent invented languages effective (i.e. achieve near perfect task rewards), they decidedly interpretable compositional. essence, find natural language does emerge 'naturally', despite semblance ease natural language emergence one may gather recent literature. discuss possible coax invented languages become more more human like compositional increasing restrictions two agents may communicate. "
Properties Origin Galaxy Velocity Bias Illustris Simulation," use hydrodynamical galaxy formation simulations Illustris suite study origin properties galaxy velocity bias, i.e., difference between velocity distributions galaxies dark matter inside halos. find galaxy velocity bias decreasing function ratio galaxy stellar mass host halo mass. general, central galaxies rest respect dark matter halos core halos, velocity dispersion above 0.04 times dark matter. central galaxy velocity bias found mostly caused close interactions between central satellite galaxies. satellite galaxies, velocity bias related their dynamical tidal evolution history after being accreted onto host halos. depends time after accretion their distances halo centers, massive satellites generally moving more slowly dark matter. results broad agreements those inferred modeling small scale redshift space galaxy clustering data, study help improve models redshift space galaxy clustering."
